PolicyID,CustomerID,AgentID,InsuranceType,StartDate,EndDate,PremiumAmount,PaymentFrequency,CoverageAmount,PolicyStatus,DeductibleAmount,RiskLevel,UnderwritingScore,AutoRenewal,YearMonth
POL000056,CUS001309,AGT0072,Travel,05-03-2021,05-03-2022,634.7,Monthly,21000,Active,634.53,Low,673,TRUE,2021-03
POL000057,CUS002827,AGT0143,Health,12-11-2023,11-11-2024,10885.19,Monthly,27000,Active,1224.36,Low,356,TRUE,2023-11
POL000058,CUS002048,AGT0182,Travel,15-04-2020,15-04-2021,109.9,Monthly,39000,Active,1568.94,Medium,414,FALSE,2020-04
POL000059,CUS001351,AGT0142,Travel,10-12-2020,10-12-2021,836.81,Monthly,15000,Active,710.77,Medium,765,FALSE,2020-12
POL000060,CUS001846,AGT0128,Life,17-08-2020,17-08-2021,1482.23,Monthly,1043000,Active,35666.06,Low,651,TRUE,2020-08
POL000061,CUS003899,AGT0139,Travel,24-07-2021,24-07-2022,393.4,Quarterly,17000,Active,213.55,High,448,TRUE,2021-07
POL000062,CUS006801,AGT0125,Life,08-05-2020,08-05-2021,1122.65,Monthly,547000,Active,18082.98,Low,487,TRUE,2020-05
POL000063,CUS008563,AGT0097,Travel,29-01-2023,29-01-2024,566.31,Monthly,29000,Active,574.97,Medium,567,TRUE,2023-01
POL000064,CUS007560,AGT0181,Life,25-09-2023,24-09-2024,1769.85,Monthly,923000,Active,17405.36,Low,495,TRUE,2023-09
POL000065,CUS006771,AGT0023,Auto,20-05-2021,20-05-2022,1411.28,Monthly,93000,Active,2899.04,Low,800,TRUE,2021-05
POL000066,CUS007340,AGT0176,Travel,28-10-2021,28-10-2022,452.52,Quarterly,27000,Active,463.34,High,328,TRUE,2021-10
POL000067,CUS004099,AGT0044,Travel,23-12-2024,23-12-2025,1190.93,Monthly,36000,Active,417.48,Medium,822,FALSE,2024-12
POL000068,CUS005927,AGT0047,Travel,04-04-2022,04-04-2023,548.81,Quarterly,7000,Expired,271.72,Medium,746,TRUE,2022-04
POL000069,CUS009991,AGT0188,Travel,28-11-2020,28-11-2021,747.22,Monthly,38000,Canceled,1127.85,Low,390,FALSE,2020-11
POL000070,CUS009031,AGT0156,Life,23-02-2023,23-02-2024,161.65,Monthly,106000,Canceled,2454.18,Low,667,TRUE,2023-02
POL000071,CUS003638,AGT0034,Health,28-04-2021,28-04-2022,670.31,Monthly,78000,Active,3775.19,Low,425,TRUE,2021-04
POL000072,CUS005806,AGT0001,Travel,07-04-2022,07-04-2023,681.94,Monthly,17000,Active,355.92,Medium,304,TRUE,2022-04
POL000073,CUS003136,AGT0065,Life,05-10-2021,05-10-2022,982.84,Annual,94000,Expired,1221.05,Low,643,TRUE,2021-10
POL000074,CUS005995,AGT0181,Life,14-07-2022,14-07-2023,1344.64,Monthly,1424000,Active,53937.15,Medium,650,TRUE,2022-07
POL000075,CUS009422,AGT0185,Health,17-10-2023,16-10-2024,13349.22,Quarterly,79000,Active,1373.44,Medium,813,TRUE,2023-10
POL000076,CUS006145,AGT0156,Health,22-04-2024,22-04-2025,2977.71,Monthly,77000,Active,3750.99,Low,336,TRUE,2024-04
POL000077,CUS001247,AGT0021,Health,04-05-2020,04-05-2021,4292.72,Monthly,59000,Active,1354.91,Low,617,TRUE,2020-05
POL000078,CUS003450,AGT0042,Home,09-08-2022,09-08-2023,1509.23,Quarterly,890000,Active,16028.44,Medium,351,TRUE,2022-08
POL000079,CUS001347,AGT0039,Home,06-06-2020,06-06-2021,1875.56,Monthly,545000,Active,23953.25,Medium,603,TRUE,2020-06
POL000080,CUS007342,AGT0114,Auto,29-12-2024,29-12-2025,2283.69,Monthly,55000,Active,651.19,Low,325,TRUE,2024-12
POL000081,CUS005809,AGT0058,Home,18-03-2020,18-03-2021,961.29,Monthly,879000,Expired,10771.69,Medium,398,FALSE,2020-03
POL000082,CUS007678,AGT0150,Auto,16-03-2022,16-03-2023,685.8,Monthly,264000,Expired,10261.65,Low,371,FALSE,2022-03
POL000083,CUS009133,AGT0095,Home,01-05-2023,30-04-2024,2556.93,Monthly,892000,Active,41029.89,Low,799,TRUE,2023-05
POL000084,CUS005703,AGT0090,Travel,16-07-2020,16-07-2021,285.07,Monthly,18000,Active,725.95,Medium,496,TRUE,2020-07
POL000085,CUS008099,AGT0015,Life,03-05-2022,03-05-2023,530.25,Quarterly,1186000,Active,40804.36,Low,488,TRUE,2022-05
POL000086,CUS006072,AGT0174,Life,11-07-2024,11-07-2025,703.27,Monthly,902000,Active,26378.85,Medium,320,FALSE,2024-07
POL000087,CUS005678,AGT0061,Travel,17-01-2022,17-01-2023,86.23,Monthly,5000,Expired,183,Medium,736,FALSE,2022-01
POL000088,CUS001087,AGT0080,Home,01-05-2021,01-05-2022,2239.69,Monthly,116000,Active,1644.31,Medium,818,FALSE,2021-05
POL000089,CUS008310,AGT0155,Life,07-10-2022,07-10-2023,372.2,Quarterly,691000,Active,20394.53,Low,783,TRUE,2022-10
POL000090,CUS008458,AGT0074,Health,13-08-2021,13-08-2022,988,Annual,23000,Active,1001.75,Low,774,TRUE,2021-08
POL000091,CUS007738,AGT0071,Health,01-01-2025,01-01-2026,591.13,Quarterly,35000,Active,1049.82,High,676,TRUE,2025-01
POL000092,CUS006461,AGT0023,Auto,16-12-2020,16-12-2021,2305.69,Monthly,122000,Active,5839.33,Low,355,TRUE,2020-12
POL000093,CUS008312,AGT0174,Travel,13-05-2021,13-05-2022,482.83,Quarterly,40000,Active,1524.87,Medium,336,TRUE,2021-05
POL000094,CUS009926,AGT0118,Home,07-01-2023,07-01-2024,1733.39,Monthly,721000,Active,33853.37,Medium,518,TRUE,2023-01
POL000095,CUS008161,AGT0144,Life,10-02-2021,10-02-2022,30.97,Monthly,68000,Active,2759.88,Low,782,TRUE,2021-02
POL000096,CUS002666,AGT0198,Health,24-07-2024,24-07-2025,4075.16,Monthly,61000,Active,1334.62,Medium,308,TRUE,2024-07
POL000097,CUS000885,AGT0070,Travel,15-09-2021,15-09-2022,105.25,Monthly,8000,Expired,206.96,Low,565,TRUE,2021-09
POL000098,CUS009308,AGT0084,Home,15-06-2023,14-06-2024,2939.2,Monthly,932000,Active,33956.83,High,808,TRUE,2023-06
POL000099,CUS005836,AGT0161,Health,24-06-2021,24-06-2022,10246.65,Annual,30000,Active,1030.06,Medium,448,TRUE,2021-06
POL000100,CUS000472,AGT0051,Health,27-10-2020,27-10-2021,2453.17,Monthly,29000,Active,781.66,High,546,FALSE,2020-10
POL000101,CUS007716,AGT0103,Life,31-10-2022,31-10-2023,304.25,Monthly,1620000,Active,59963.97,Medium,682,TRUE,2022-10
POL000102,CUS005456,AGT0087,Travel,19-08-2022,19-08-2023,46.31,Monthly,33000,Active,441.87,Medium,802,FALSE,2022-08
POL000103,CUS009950,AGT0060,Health,31-08-2022,31-08-2023,2048.15,Monthly,22000,Active,731.15,Medium,493,TRUE,2022-08
POL000104,CUS001964,AGT0171,Home,20-06-2023,19-06-2024,4330.64,Monthly,239000,Active,6975.54,High,578,TRUE,2023-06
POL000105,CUS000045,AGT0185,Travel,15-01-2023,15-01-2024,6.96,Quarterly,17000,Active,778.71,Medium,390,FALSE,2023-01
POL000106,CUS005865,AGT0152,Life,11-08-2023,10-08-2024,859.49,Monthly,1918000,Canceled,60709.55,Medium,560,FALSE,2023-08
POL000107,CUS000175,AGT0074,Auto,23-04-2021,23-04-2022,303.4,Annual,162000,Active,6976.06,Low,695,FALSE,2021-04
POL000108,CUS005771,AGT0063,Health,10-08-2022,10-08-2023,3248.52,Monthly,42000,Active,1748.42,High,556,TRUE,2022-08
POL000109,CUS006770,AGT0066,Home,30-11-2023,29-11-2024,1640.89,Monthly,177000,Active,2568.44,Medium,437,TRUE,2023-11
POL000110,CUS008885,AGT0123,Travel,28-05-2023,27-05-2024,329.35,Monthly,27000,Active,332.25,Low,307,TRUE,2023-05
POL000111,CUS007709,AGT0004,Home,12-12-2023,11-12-2024,228.65,Quarterly,761000,Active,19686.53,Low,693,TRUE,2023-12
POL000112,CUS006671,AGT0019,Home,10-06-2024,10-06-2025,1568.75,Monthly,369000,Expired,16974.17,High,821,TRUE,2024-06
POL000113,CUS000793,AGT0050,Health,08-04-2022,08-04-2023,12503.08,Quarterly,61000,Active,2149.08,Medium,551,TRUE,2022-04
POL000114,CUS007461,AGT0024,Travel,27-06-2022,27-06-2023,71.81,Quarterly,42000,Canceled,1338.32,Medium,834,FALSE,2022-06
POL000115,CUS009972,AGT0080,Health,04-07-2022,04-07-2023,5457.69,Monthly,92000,Expired,3386.81,Low,766,TRUE,2022-07
POL000116,CUS002373,AGT0007,Health,20-06-2022,20-06-2023,915.83,Annual,25000,Active,815.48,Low,744,TRUE,2022-06
POL000117,CUS009492,AGT0055,Home,26-03-2023,25-03-2024,2097.33,Quarterly,995000,Expired,11793.33,Medium,712,FALSE,2023-03
POL000118,CUS006619,AGT0124,Home,20-05-2021,20-05-2022,3585.3,Monthly,495000,Active,11629.94,Medium,515,TRUE,2021-05
POL000119,CUS005906,AGT0137,Home,20-04-2020,20-04-2021,203.32,Monthly,752000,Active,25214.18,Low,792,TRUE,2020-04
POL000120,CUS009846,AGT0048,Home,31-01-2024,30-01-2025,757.43,Monthly,278000,Active,7000.71,Medium,461,TRUE,2024-01
POL000121,CUS006455,AGT0106,Travel,12-08-2023,11-08-2024,421.72,Quarterly,41000,Active,782.58,Medium,575,TRUE,2023-08
POL000122,CUS000304,AGT0097,Travel,25-04-2021,25-04-2022,265.78,Monthly,26000,Expired,547.76,High,835,TRUE,2021-04
POL000123,CUS008690,AGT0183,Travel,21-03-2024,21-03-2025,841.38,Monthly,38000,Active,1807.32,Low,651,TRUE,2024-03
POL000124,CUS004664,AGT0067,Home,27-08-2023,26-08-2024,1082.76,Monthly,417000,Active,15854.48,Low,726,FALSE,2023-08
POL000125,CUS005101,AGT0169,Auto,17-01-2020,16-01-2021,1066.88,Monthly,449000,Expired,17285.5,Low,706,TRUE,2020-01
POL000126,CUS000199,AGT0045,Home,06-07-2021,06-07-2022,1959.46,Monthly,739000,Active,25201.74,Medium,302,TRUE,2021-07
POL000127,CUS003152,AGT0194,Travel,17-09-2023,16-09-2024,3.91,Quarterly,15000,Active,409.69,Low,577,TRUE,2023-09
POL000128,CUS008978,AGT0173,Travel,18-08-2020,18-08-2021,166.8,Monthly,50000,Active,1176.87,Medium,727,FALSE,2020-08
POL000129,CUS000898,AGT0188,Travel,24-12-2023,23-12-2024,403.53,Monthly,45000,Active,1477.22,Low,515,TRUE,2023-12
POL000130,CUS006629,AGT0174,Health,11-10-2020,11-10-2021,448.93,Monthly,24000,Active,833.23,High,613,FALSE,2020-10
POL000131,CUS006826,AGT0124,Home,28-05-2023,27-05-2024,3669.11,Monthly,570000,Canceled,19807.17,Medium,739,TRUE,2023-05
POL000132,CUS003350,AGT0091,Home,30-10-2020,30-10-2021,2436.49,Monthly,792000,Active,29538.68,Medium,749,TRUE,2020-10
POL000133,CUS004505,AGT0022,Life,10-04-2022,10-04-2023,332.18,Monthly,1369000,Expired,34170.65,Medium,489,FALSE,2022-04
POL000134,CUS001373,AGT0120,Health,10-07-2022,10-07-2023,3211.09,Quarterly,12000,Active,206.99,Medium,783,TRUE,2022-07
POL000135,CUS008741,AGT0082,Auto,25-02-2021,25-02-2022,1843.04,Monthly,411000,Expired,6571.65,Low,341,TRUE,2021-02
POL000136,CUS007162,AGT0027,Travel,05-08-2023,04-08-2024,133.78,Monthly,6000,Active,186.14,Low,814,FALSE,2023-08
POL000137,CUS004876,AGT0083,Life,27-01-2020,26-01-2021,699.24,Monthly,359000,Expired,14471.39,Low,824,FALSE,2020-01
POL000138,CUS002327,AGT0019,Auto,08-02-2024,07-02-2025,2835.3,Monthly,171000,Active,4013.55,Low,808,FALSE,2024-02
POL000139,CUS005869,AGT0131,Health,22-09-2022,22-09-2023,12937.18,Quarterly,19000,Active,805.11,High,304,TRUE,2022-09
POL000140,CUS009286,AGT0131,Health,17-05-2022,17-05-2023,4277.59,Quarterly,12000,Active,302.11,Medium,845,TRUE,2022-05
POL000141,CUS003511,AGT0022,Health,05-11-2020,05-11-2021,9965.52,Monthly,70000,Active,2522.3,High,837,TRUE,2020-11
POL000142,CUS008844,AGT0183,Home,23-12-2023,22-12-2024,2442.51,Quarterly,645000,Expired,20853.27,Medium,623,FALSE,2023-12
POL000143,CUS007951,AGT0154,Auto,09-02-2023,09-02-2024,1115.46,Quarterly,53000,Expired,1096.56,Medium,477,TRUE,2023-02
POL000144,CUS001185,AGT0131,Travel,02-05-2022,02-05-2023,410.5,Monthly,39000,Active,1870.5,Low,349,TRUE,2022-05
POL000145,CUS004644,AGT0066,Life,31-05-2021,31-05-2022,1515.56,Monthly,225000,Canceled,5605.9,Medium,562,TRUE,2021-05
POL000146,CUS005515,AGT0048,Travel,08-09-2021,08-09-2022,508.01,Monthly,50000,Active,1198.71,Low,547,TRUE,2021-09
POL000147,CUS000009,AGT0065,Auto,05-08-2023,04-08-2024,1049.21,Monthly,395000,Active,9597.32,Medium,808,FALSE,2023-08
POL000148,CUS002021,AGT0117,Health,15-03-2020,15-03-2021,2592.89,Monthly,32000,Active,1552.55,High,326,TRUE,2020-03
POL000149,CUS007872,AGT0099,Life,06-11-2022,06-11-2023,1074.57,Annual,1628000,Active,31602.42,Medium,688,TRUE,2022-11
POL000150,CUS003090,AGT0005,Auto,17-11-2022,17-11-2023,2364.74,Monthly,136000,Expired,5644.17,Medium,348,FALSE,2022-11
POL000151,CUS008468,AGT0042,Home,08-01-2024,07-01-2025,914.83,Annual,539000,Canceled,18630.19,High,549,TRUE,2024-01
POL000152,CUS006825,AGT0041,Health,09-10-2021,09-10-2022,9014.58,Quarterly,62000,Active,661.72,Medium,680,FALSE,2021-10
POL000153,CUS000184,AGT0051,Home,06-04-2022,06-04-2023,1171.76,Monthly,320000,Active,10823.35,Medium,668,TRUE,2022-04
POL000154,CUS007760,AGT0120,Auto,04-03-2024,04-03-2025,2724.52,Annual,188000,Active,7545.15,Low,694,TRUE,2024-03
POL000155,CUS001022,AGT0052,Home,06-07-2020,06-07-2021,1540.6,Monthly,694000,Active,28983.47,Medium,560,TRUE,2020-07
POL000156,CUS005753,AGT0133,Auto,15-08-2021,15-08-2022,478.74,Monthly,388000,Expired,13567.81,High,645,FALSE,2021-08
POL000157,CUS001639,AGT0104,Home,13-09-2024,13-09-2025,425.17,Monthly,706000,Active,13061.29,Low,848,FALSE,2024-09
POL000158,CUS006398,AGT0144,Travel,29-08-2022,29-08-2023,19.92,Annual,45000,Active,2127.61,Medium,704,TRUE,2022-08
POL000159,CUS007589,AGT0092,Home,13-11-2023,12-11-2024,2068.24,Quarterly,494000,Active,13190.63,Low,344,TRUE,2023-11
POL000160,CUS003507,AGT0022,Travel,08-04-2020,08-04-2021,386.77,Monthly,44000,Active,1469.72,Low,843,FALSE,2020-04
POL000161,CUS003141,AGT0049,Travel,10-03-2022,10-03-2023,117.32,Annual,20000,Expired,619.07,Medium,459,TRUE,2022-03
POL000162,CUS005926,AGT0134,Travel,26-06-2022,26-06-2023,567.45,Monthly,48000,Active,672.18,Medium,796,FALSE,2022-06
POL000163,CUS008776,AGT0040,Health,24-10-2023,23-10-2024,7261.46,Monthly,60000,Expired,1468.3,Medium,797,TRUE,2023-10
POL000164,CUS005679,AGT0089,Travel,13-05-2024,13-05-2025,606.73,Monthly,36000,Active,1699.33,Medium,825,TRUE,2024-05
POL000165,CUS006322,AGT0148,Life,28-10-2022,28-10-2023,1786.34,Monthly,296000,Expired,11979.28,Low,496,TRUE,2022-10
POL000166,CUS000106,AGT0195,Home,30-03-2023,29-03-2024,3306.39,Monthly,575000,Active,10142.84,Medium,482,FALSE,2023-03
POL000167,CUS004636,AGT0172,Auto,15-01-2021,15-01-2022,1888.73,Monthly,163000,Canceled,5853.25,Low,578,TRUE,2021-01
POL000168,CUS004676,AGT0159,Travel,25-02-2023,25-02-2024,63.07,Monthly,44000,Active,1331.15,Medium,490,TRUE,2023-02
POL000169,CUS008336,AGT0161,Health,29-05-2020,29-05-2021,2042.91,Quarterly,67000,Active,814.49,Medium,438,TRUE,2020-05
POL000170,CUS006666,AGT0031,Life,17-08-2022,17-08-2023,1000.27,Quarterly,656000,Active,13368.84,Medium,315,TRUE,2022-08
POL000171,CUS006064,AGT0122,Life,30-03-2024,30-03-2025,1584.59,Monthly,192000,Active,9540.24,Medium,690,TRUE,2024-03
POL000172,CUS006789,AGT0166,Travel,05-04-2024,05-04-2025,433.64,Monthly,37000,Active,1743.64,Low,322,FALSE,2024-04
POL000173,CUS006348,AGT0139,Travel,03-05-2024,03-05-2025,325.71,Monthly,24000,Active,734.87,Low,472,TRUE,2024-05
POL000174,CUS005370,AGT0022,Life,27-04-2023,26-04-2024,1108.97,Annual,1899000,Canceled,68870.28,Low,527,FALSE,2023-04
POL000175,CUS005824,AGT0099,Life,08-11-2024,08-11-2025,429.15,Quarterly,1712000,Active,34525.41,High,839,TRUE,2024-11
POL000176,CUS008757,AGT0119,Travel,16-12-2023,15-12-2024,317.98,Monthly,31000,Active,1514.88,Low,676,TRUE,2023-12
POL000177,CUS000202,AGT0052,Travel,19-12-2021,19-12-2022,401.03,Quarterly,45000,Expired,981.54,Medium,396,TRUE,2021-12
POL000178,CUS000962,AGT0098,Auto,30-06-2020,30-06-2021,1735.31,Monthly,155000,Canceled,7740.48,Low,678,TRUE,2020-06
POL000179,CUS009849,AGT0121,Health,18-10-2024,18-10-2025,12499.25,Monthly,52000,Active,2330.39,High,407,TRUE,2024-10
POL000180,CUS002816,AGT0100,Health,24-06-2020,24-06-2021,1625.05,Monthly,40000,Active,1563.64,High,720,TRUE,2020-06
POL000181,CUS001000,AGT0068,Travel,15-01-2023,15-01-2024,367.92,Monthly,39000,Active,1790.74,High,447,FALSE,2023-01
POL000182,CUS004856,AGT0043,Health,27-04-2021,27-04-2022,767.92,Monthly,76000,Active,3585.02,Low,311,FALSE,2021-04
POL000183,CUS008680,AGT0011,Home,15-06-2023,14-06-2024,2785.27,Monthly,125000,Active,2321.85,Low,506,TRUE,2023-06
POL000184,CUS000719,AGT0162,Health,30-07-2024,30-07-2025,8467.19,Monthly,25000,Active,1023.68,Medium,727,TRUE,2024-07
POL000185,CUS009218,AGT0119,Home,03-12-2023,02-12-2024,2221.82,Quarterly,608000,Active,28701.21,High,495,FALSE,2023-12
POL000186,CUS005960,AGT0017,Life,30-11-2024,30-11-2025,152.65,Monthly,1839000,Active,37559.3,Low,519,TRUE,2024-11
POL000187,CUS007937,AGT0077,Travel,26-03-2020,26-03-2021,462.32,Monthly,8000,Active,364.47,High,457,TRUE,2020-03
POL000188,CUS008087,AGT0110,Life,16-06-2024,16-06-2025,1058.96,Annual,1523000,Active,19519.93,Medium,580,TRUE,2024-06
POL000189,CUS002575,AGT0158,Travel,18-12-2024,18-12-2025,374.61,Quarterly,40000,Active,558.64,High,353,TRUE,2024-12
POL000190,CUS009708,AGT0171,Home,06-01-2025,06-01-2026,2610.45,Monthly,196000,Active,3571.56,Low,393,TRUE,2025-01
POL000191,CUS000666,AGT0127,Travel,19-08-2024,19-08-2025,161.9,Quarterly,47000,Active,631.74,High,412,TRUE,2024-08
POL000192,CUS003247,AGT0001,Auto,22-03-2023,21-03-2024,963.19,Monthly,479000,Expired,6045.23,Medium,572,FALSE,2023-03
POL000193,CUS000342,AGT0189,Home,18-03-2020,18-03-2021,1026.03,Quarterly,277000,Active,12192.7,Low,632,TRUE,2020-03
POL000194,CUS004061,AGT0167,Life,02-12-2022,02-12-2023,905.99,Monthly,420000,Active,17941.38,Medium,642,FALSE,2022-12
