SalesID,AgentID,YearMonth,NumPoliciesSold,TotalPremiumAmount,TargetAmount,Achievement,Commissions,LeadCount,ConversionRate,CustomerMeetings,SalesActivityScore
SLS000025,AGT0000,2021-02,0,0.0,174600,0.0,0.0,11,0.33,18,69.34
SLS000026,AGT0000,2021-03,1,275.34,185145,0.15,13.94,23,0.26,8,79.43
SLS000027,AGT0000,2021-04,0,0.0,156294,0.0,0.0,23,0.2,6,89.74
SLS000028,AGT0000,2021-05,0,0.0,57539,0.0,0.0,60,0.23,5,60.5
SLS000029,AGT0000,2021-06,2,8810.39,91036,9.68,1208.84,44,0.32,20,97.1
SLS000030,AGT0000,2021-07,3,5515.1,55674,9.91,352.29,41,0.14,12,83.66
SLS000031,AGT0000,2021-08,2,504.87,149042,0.34,62.46,25,0.35,23,88.16
SLS000032,AGT0000,2021-09,0,0.0,147674,0.0,0.0,81,0.32,28,67.77
SLS000033,AGT0000,2021-10,0,0.0,141023,0.0,0.0,28,0.28,14,71.65
SLS000034,AGT0000,2021-11,0,0.0,113674,0.0,0.0,24,0.4,27,84.41
SLS000035,AGT0000,2021-12,1,1571.16,171462,0.92,120.01,76,0.17,19,77.03
SLS000036,AGT0000,2022-01,2,1939.7800000000002,151460,1.28,246.72,81,0.34,9,86.23
SLS000037,AGT0000,2022-02,0,0.0,186605,0.0,0.0,63,0.21,8,84.34
SLS000038,AGT0000,2022-03,6,9082.18,100017,9.08,823.45,28,0.26,10,99.94
SLS000039,AGT0000,2022-04,1,1142.99,194471,0.59,108.91,93,0.3,18,94.22
SLS000040,AGT0000,2022-05,3,11165.09,141336,7.9,1575.68,79,0.36,16,85.63
SLS000041,AGT0000,2022-06,1,1636.16,74502,2.2,170.4,50,0.33,11,84.07
SLS000042,AGT0000,2022-07,0,0.0,155277,0.0,0.0,51,0.37,8,61.38
SLS000043,AGT0000,2022-08,1,2740.29,90490,3.03,318.13,78,0.12,26,72.92
SLS000044,AGT0000,2022-09,1,1386.4,148916,0.93,118.76,73,0.39,5,94.65
SLS000045,AGT0000,2022-10,1,910.83,111991,0.81,119.6,23,0.18,20,83.66
SLS000046,AGT0000,2022-11,1,443.39,90177,0.49,30.01,62,0.12,9,76.42
SLS000047,AGT0000,2022-12,2,588.31,188062,0.31,44.75,49,0.25,24,75.84
SLS000048,AGT0000,2023-01,0,0.0,74698,0.0,0.0,32,0.11,20,95.53
SLS000049,AGT0000,2023-02,0,0.0,189783,0.0,0.0,56,0.22,29,63.59
SLS000050,AGT0000,2023-03,0,0.0,142054,0.0,0.0,94,0.12,18,80.6
SLS000051,AGT0000,2023-04,2,1341.3400000000001,112307,1.19,185.35,42,0.32,9,75.87
SLS000052,AGT0000,2023-05,1,2362.2,57860,4.08,310.0,24,0.18,18,96.14
SLS000053,AGT0000,2023-06,1,384.25,196500,0.2,51.82,15,0.18,29,82.46
SLS000054,AGT0000,2023-07,2,686.6800000000001,105508,0.65,35.03,48,0.25,24,77.7
SLS000055,AGT0000,2023-08,3,4373.98,130932,3.34,633.5,53,0.21,25,85.34
SLS000056,AGT0000,2023-09,1,207.63,61149,0.34,18.72,47,0.23,15,77.18
SLS000057,AGT0000,2023-10,1,1683.62,68942,2.44,126.57,44,0.32,13,91.54
SLS000058,AGT0000,2023-11,2,9621.42,97739,9.84,1443.0,34,0.34,25,63.7
SLS000059,AGT0000,2023-12,1,1627.1,156289,1.04,161.31,76,0.34,5,72.41
SLS000060,AGT0000,2024-01,4,10887.74,170373,6.39,1589.05,67,0.16,10,86.97
SLS000061,AGT0001,2019-01,0,0.0,183629,0.0,0.0,80,0.25,9,76.05
SLS000062,AGT0001,2019-02,0,0.0,61424,0.0,0.0,62,0.25,5,90.5
SLS000063,AGT0001,2019-03,0,0.0,161452,0.0,0.0,84,0.39,22,61.41
SLS000064,AGT0001,2019-04,0,0.0,170705,0.0,0.0,42,0.36,19,71.85
SLS000065,AGT0001,2019-05,0,0.0,72178,0.0,0.0,32,0.37,8,98.29
SLS000066,AGT0001,2019-06,0,0.0,146232,0.0,0.0,69,0.27,19,76.49
SLS000067,AGT0001,2019-07,0,0.0,89595,0.0,0.0,58,0.26,28,82.68
SLS000068,AGT0001,2019-08,0,0.0,128863,0.0,0.0,49,0.18,21,77.75
SLS000069,AGT0001,2019-09,0,0.0,107649,0.0,0.0,32,0.39,10,93.39
SLS000070,AGT0001,2019-10,0,0.0,75997,0.0,0.0,75,0.37,5,86.47
SLS000071,AGT0001,2019-11,0,0.0,61879,0.0,0.0,64,0.39,9,62.49
SLS000072,AGT0001,2019-12,0,0.0,170913,0.0,0.0,44,0.35,21,99.3
SLS000073,AGT0001,2020-01,2,781.75,74998,1.04,40.3,58,0.4,25,82.03
SLS000074,AGT0001,2020-02,3,2366.19,79824,2.96,201.71,55,0.15,25,81.4
SLS000075,AGT0001,2020-03,1,2113.95,137639,1.54,129.03,61,0.27,13,98.12
SLS000076,AGT0001,2020-04,1,276.23,143884,0.19,36.64,24,0.33,21,70.77
SLS000077,AGT0001,2020-05,3,3081.42,68551,4.5,216.34,74,0.11,24,91.42
SLS000078,AGT0001,2020-06,2,652.4100000000001,72580,0.9,93.02,93,0.21,18,79.73
SLS000079,AGT0001,2020-07,0,0.0,147836,0.0,0.0,81,0.36,19,89.62
SLS000080,AGT0001,2020-08,0,0.0,119037,0.0,0.0,34,0.12,17,65.42
SLS000081,AGT0001,2020-09,2,1863.51,83967,2.22,192.05,79,0.35,22,66.28
SLS000082,AGT0001,2020-10,1,182.9,175806,0.1,15.22,33,0.13,16,87.51
SLS000083,AGT0001,2020-11,3,3150.06,182491,1.73,426.02,30,0.16,13,61.25
SLS000084,AGT0001,2020-12,3,3771.0800000000004,161764,2.33,471.4,97,0.17,8,80.1
SLS000085,AGT0001,2021-01,3,7722.09,128751,6.0,488.86,91,0.18,13,89.91
SLS000086,AGT0001,2021-02,0,0.0,143311,0.0,0.0,32,0.24,7,74.65
SLS000087,AGT0001,2021-03,2,3991.49,134881,2.96,412.64,52,0.11,16,65.93
SLS000088,AGT0001,2021-04,3,2722.46,78458,3.47,329.56,90,0.32,10,69.75
SLS000089,AGT0001,2021-05,4,9932.34,111464,8.91,985.17,60,0.12,22,62.71
SLS000090,AGT0001,2021-06,3,219.38,153020,0.14,12.36,39,0.33,27,66.28
SLS000091,AGT0001,2021-07,1,4863.91,185597,2.62,641.07,99,0.34,27,75.73
SLS000092,AGT0001,2021-08,4,1973.4199999999998,139680,1.41,122.71,34,0.19,6,61.9
SLS000093,AGT0001,2021-09,2,2434.78,159755,1.52,162.89,24,0.3,28,75.65
SLS000094,AGT0001,2021-10,2,2659.08,189594,1.4,262.51,45,0.3,19,77.69
SLS000095,AGT0001,2021-11,2,3632.01,199298,1.82,234.99,96,0.33,7,79.14
SLS000096,AGT0001,2021-12,1,312.19,91916,0.34,24.43,99,0.18,26,87.17
SLS000097,AGT0001,2022-01,2,1706.6799999999998,61428,2.78,169.37,40,0.18,22,99.94
SLS000098,AGT0001,2022-02,1,260.31,175265,0.15,34.44,46,0.11,6,67.78
SLS000099,AGT0001,2022-03,0,0.0,159920,0.0,0.0,51,0.39,26,71.07
SLS000100,AGT0001,2022-04,4,1441.53,85824,1.68,80.78,53,0.25,27,96.39
SLS000101,AGT0001,2022-05,1,207.28,154211,0.13,12.73,49,0.32,14,84.69
SLS000102,AGT0001,2022-06,1,54.53,172976,0.03,5.01,59,0.25,28,99.74
SLS000103,AGT0001,2022-07,2,5012.3099999999995,161168,3.11,302.93,65,0.35,13,71.77
SLS000104,AGT0001,2022-08,1,844.68,179320,0.47,109.88,28,0.1,17,91.18
SLS000105,AGT0001,2022-09,1,4758.31,185729,2.56,482.64,10,0.12,22,90.81
SLS000106,AGT0001,2022-10,2,6328.88,73286,8.64,667.49,71,0.4,22,82.07
SLS000107,AGT0001,2022-11,0,0.0,135573,0.0,0.0,91,0.38,15,76.65
SLS000108,AGT0001,2022-12,1,254.13,142044,0.18,35.64,73,0.32,28,63.73
SLS000109,AGT0001,2023-01,1,152.87,172366,0.09,11.0,59,0.28,12,92.46
SLS000110,AGT0001,2023-02,0,0.0,118626,0.0,0.0,39,0.13,14,77.34
SLS000111,AGT0001,2023-03,1,963.19,163784,0.59,143.87,22,0.24,19,65.72
SLS000112,AGT0001,2023-04,1,2239.78,87431,2.56,316.88,32,0.17,5,82.0
SLS000113,AGT0001,2023-05,1,1380.72,91045,1.52,101.06,39,0.33,25,99.56
SLS000114,AGT0001,2023-06,1,360.08,56769,0.63,45.15,17,0.14,13,87.93
SLS000115,AGT0001,2023-07,1,1206.97,171608,0.7,118.12,54,0.11,19,99.5
SLS000116,AGT0001,2023-08,3,3192.84,122384,2.61,442.83,42,0.34,23,62.13
SLS000117,AGT0001,2023-09,3,6036.08,110908,5.44,822.08,28,0.29,21,76.75
SLS000118,AGT0001,2023-10,0,0.0,55191,0.0,0.0,11,0.39,14,94.41
SLS000119,AGT0001,2023-11,3,3238.86,197659,1.64,277.27,98,0.27,12,91.06
SLS000120,AGT0001,2023-12,0,0.0,177742,0.0,0.0,34,0.18,14,78.44
SLS000121,AGT0001,2024-01,0,0.0,103120,0.0,0.0,51,0.33,7,71.37
SLS000122,AGT0002,2019-01,0,0.0,147484,0.0,0.0,69,0.21,13,79.93
SLS000123,AGT0002,2019-02,0,0.0,99757,0.0,0.0,13,0.37,29,85.38
SLS000124,AGT0002,2019-03,0,0.0,113536,0.0,0.0,75,0.23,5,71.35
SLS000125,AGT0002,2019-04,0,0.0,126896,0.0,0.0,51,0.21,19,72.18
SLS000126,AGT0002,2019-05,0,0.0,56288,0.0,0.0,34,0.28,11,93.15
SLS000127,AGT0002,2019-06,0,0.0,109180,0.0,0.0,58,0.26,19,78.05
SLS000128,AGT0002,2019-07,0,0.0,94300,0.0,0.0,69,0.19,11,78.9
SLS000129,AGT0002,2019-08,0,0.0,116402,0.0,0.0,45,0.2,29,75.4
SLS000130,AGT0002,2019-09,0,0.0,123519,0.0,0.0,52,0.39,18,81.82
SLS000131,AGT0002,2019-10,0,0.0,69897,0.0,0.0,22,0.23,19,92.42
SLS000132,AGT0002,2019-11,0,0.0,60702,0.0,0.0,68,0.3,18,81.76
SLS000133,AGT0002,2019-12,0,0.0,142318,0.0,0.0,75,0.14,11,84.08
SLS000134,AGT0002,2020-01,1,134.68,161852,0.08,9.83,70,0.11,21,62.09
SLS000135,AGT0002,2020-02,0,0.0,138338,0.0,0.0,41,0.15,13,77.8
SLS000136,AGT0002,2020-03,6,21009.79,67986,30.9,1750.78,43,0.18,23,65.07
SLS000137,AGT0002,2020-04,5,13893.0,63312,21.94,1630.77,75,0.11,20,77.91
SLS000138,AGT0002,2020-05,2,3938.08,91168,4.32,466.36,22,0.38,14,67.91
SLS000139,AGT0002,2020-06,3,2806.42,143792,1.95,420.66,27,0.23,15,61.8
SLS000140,AGT0002,2020-07,3,15713.22,191876,8.19,1995.62,91,0.17,7,71.26
SLS000141,AGT0002,2020-08,3,4048.39,91767,4.41,555.16,31,0.17,6,72.42
SLS000142,AGT0002,2020-09,3,2783.44,67301,4.14,273.76,77,0.18,27,69.54
SLS000143,AGT0002,2020-10,1,1430.58,98454,1.45,206.04,80,0.18,29,61.53
SLS000144,AGT0002,2020-11,0,0.0,155338,0.0,0.0,40,0.31,7,80.38
SLS000145,AGT0002,2020-12,0,0.0,147021,0.0,0.0,44,0.38,13,72.54
SLS000146,AGT0002,2021-01,2,6478.79,51300,12.63,820.14,89,0.23,12,77.34
SLS000147,AGT0002,2021-02,5,29091.09,156329,18.61,1659.0,45,0.33,14,80.19
SLS000148,AGT0002,2021-03,1,258.59,181414,0.14,23.73,73,0.24,9,82.05
SLS000149,AGT0002,2021-04,1,2517.94,57499,4.38,202.71,52,0.21,6,65.52
SLS000150,AGT0002,2021-05,0,0.0,146333,0.0,0.0,43,0.16,14,81.39
SLS000151,AGT0002,2021-06,3,4686.78,61816,7.58,552.8,20,0.22,7,97.37
SLS000152,AGT0002,2021-07,3,19995.4,120153,16.64,1305.09,14,0.35,21,70.81
SLS000153,AGT0002,2021-08,3,3329.71,160295,2.08,349.54,77,0.24,7,96.81
SLS000154,AGT0002,2021-09,0,0.0,52635,0.0,0.0,82,0.21,20,65.27
SLS000155,AGT0002,2021-10,1,1150.74,198229,0.58,159.55,52,0.25,26,86.43
SLS000156,AGT0002,2021-11,1,947.11,148916,0.64,76.08,89,0.1,6,74.4
SLS000157,AGT0002,2021-12,2,3621.59,52996,6.83,385.63,97,0.35,10,60.79
SLS000158,AGT0002,2022-01,3,2457.08,140468,1.75,276.14,97,0.23,8,73.7
SLS000159,AGT0002,2022-02,2,5391.2,105910,5.09,679.29,52,0.34,23,76.93
SLS000160,AGT0002,2022-03,0,0.0,121306,0.0,0.0,92,0.23,18,85.78
SLS000161,AGT0002,2022-04,3,5768.13,176608,3.27,685.73,96,0.16,29,65.7
SLS000162,AGT0002,2022-05,1,319.42,169683,0.19,28.3,93,0.16,8,67.09
SLS000163,AGT0002,2022-06,4,6804.82,99837,6.82,403.74,81,0.37,14,86.06
SLS000164,AGT0002,2022-07,1,313.32,115207,0.27,44.68,22,0.2,26,82.39
SLS000165,AGT0002,2022-08,4,6329.23,116320,5.44,608.95,65,0.16,14,61.5
SLS000166,AGT0002,2022-09,0,0.0,104100,0.0,0.0,70,0.36,29,91.86
SLS000167,AGT0002,2022-10,2,1601.25,91314,1.75,185.03,54,0.37,26,62.09
SLS000168,AGT0002,2022-11,2,6203.120000000001,56048,11.07,648.95,79,0.4,20,89.66
SLS000169,AGT0002,2022-12,1,10487.08,97061,10.8,1099.67,85,0.3,6,94.11
SLS000170,AGT0002,2023-01,2,979.78,108074,0.91,129.09,14,0.39,5,74.17
SLS000171,AGT0002,2023-02,3,2256.42,180277,1.25,282.01,22,0.37,29,90.05
SLS000172,AGT0002,2023-03,1,1592.9,95607,1.67,183.51,18,0.13,27,88.76
SLS000173,AGT0002,2023-04,2,3005.61,178138,1.69,405.58,14,0.25,18,76.07
SLS000174,AGT0002,2023-05,2,7785.45,85460,9.11,582.14,14,0.29,15,77.4
SLS000175,AGT0002,2023-06,1,2320.94,82299,2.82,253.95,15,0.23,8,69.2
SLS000176,AGT0002,2023-07,2,605.69,60787,1.0,42.06,82,0.37,20,61.87
SLS000177,AGT0002,2023-08,3,4193.95,195827,2.14,405.48,61,0.19,17,68.23
SLS000178,AGT0002,2023-09,1,304.08,135825,0.22,30.81,77,0.27,27,78.1
SLS000179,AGT0002,2023-10,1,914.04,171252,0.53,102.86,86,0.17,10,92.5
SLS000180,AGT0002,2023-11,2,5427.1900000000005,166699,3.26,712.05,79,0.35,29,87.02
SLS000181,AGT0002,2023-12,3,1876.1399999999999,53256,3.52,109.96,14,0.35,17,88.46
SLS000182,AGT0002,2024-01,3,8375.6,196762,4.26,1058.87,54,0.32,20,94.35
SLS000183,AGT0003,2019-01,0,0.0,183266,0.0,0.0,96,0.34,7,66.55
SLS000184,AGT0003,2019-02,0,0.0,112625,0.0,0.0,56,0.23,17,80.84
SLS000185,AGT0003,2019-03,0,0.0,77088,0.0,0.0,41,0.37,20,76.27
SLS000186,AGT0003,2019-04,0,0.0,85513,0.0,0.0,21,0.23,11,60.75
SLS000187,AGT0003,2019-05,0,0.0,161774,0.0,0.0,54,0.21,12,99.21
SLS000188,AGT0003,2019-06,0,0.0,135830,0.0,0.0,11,0.38,26,91.9
SLS000189,AGT0003,2019-07,0,0.0,121394,0.0,0.0,86,0.29,7,98.27
SLS000190,AGT0003,2019-08,0,0.0,103182,0.0,0.0,61,0.31,23,88.04
SLS000191,AGT0003,2019-09,0,0.0,118740,0.0,0.0,47,0.39,23,70.17
SLS000192,AGT0003,2019-10,0,0.0,78033,0.0,0.0,67,0.14,10,94.29
SLS000193,AGT0003,2019-11,0,0.0,175684,0.0,0.0,84,0.25,20,87.24
SLS000194,AGT0003,2019-12,0,0.0,165998,0.0,0.0,67,0.3,24,86.09
SLS000195,AGT0003,2020-01,1,689.76,198032,0.35,86.29,47,0.4,23,83.8
SLS000196,AGT0003,2020-02,2,7667.91,129234,5.93,596.29,63,0.28,20,60.52
SLS000197,AGT0003,2020-03,1,1403.2,189893,0.74,101.23,71,0.35,14,99.87
SLS000198,AGT0003,2020-04,1,1190.53,134187,0.89,150.95,21,0.3,6,72.97
SLS000199,AGT0003,2020-05,3,15486.92,66076,23.44,1304.55,99,0.33,5,87.18
SLS000200,AGT0003,2020-06,0,0.0,102640,0.0,0.0,38,0.11,10,89.38
SLS000201,AGT0003,2020-07,2,6552.4,194842,3.36,780.72,52,0.36,5,91.66
SLS000202,AGT0003,2020-08,1,371.85,193397,0.19,47.03,88,0.12,24,76.05
SLS000203,AGT0003,2020-09,0,0.0,185606,0.0,0.0,68,0.23,28,93.74
SLS000204,AGT0003,2020-10,0,0.0,78360,0.0,0.0,28,0.15,12,67.86
SLS000205,AGT0003,2020-11,0,0.0,163724,0.0,0.0,56,0.15,7,71.62
SLS000206,AGT0003,2020-12,0,0.0,153406,0.0,0.0,77,0.21,6,98.36
SLS000207,AGT0003,2021-01,1,694.88,177461,0.39,61.32,27,0.16,7,76.99
SLS000208,AGT0003,2021-02,3,4935.85,52846,9.34,657.64,21,0.22,11,65.19
SLS000209,AGT0003,2021-03,1,62.76,92780,0.07,6.62,75,0.34,12,62.83
SLS000210,AGT0003,2021-04,2,7054.42,127498,5.53,819.38,73,0.31,8,73.0
SLS000211,AGT0003,2021-05,0,0.0,140784,0.0,0.0,14,0.16,21,87.22
SLS000212,AGT0003,2021-06,0,0.0,60637,0.0,0.0,73,0.32,5,81.58
SLS000213,AGT0003,2021-07,0,0.0,157115,0.0,0.0,85,0.4,23,69.4
SLS000214,AGT0003,2021-08,4,3510.33,175962,1.99,305.09,41,0.11,28,61.49
SLS000215,AGT0003,2021-09,2,583.18,56056,1.04,72.88,29,0.15,21,99.75
SLS000216,AGT0003,2021-10,3,5953.82,91596,6.5,327.33,74,0.3,8,80.54
SLS000217,AGT0003,2021-11,1,1424.63,175644,0.81,168.33,83,0.32,25,71.82
SLS000218,AGT0003,2021-12,3,2385.08,149074,1.6,269.25,18,0.34,29,80.49
SLS000219,AGT0003,2022-01,3,4882.96,79671,6.13,475.38,67,0.23,25,71.12
SLS000220,AGT0003,2022-02,0,0.0,150163,0.0,0.0,60,0.27,10,79.7
SLS000221,AGT0003,2022-03,1,1833.27,60228,3.04,262.23,34,0.23,10,89.67
SLS000222,AGT0003,2022-04,3,1910.42,198807,0.96,143.66,79,0.12,27,82.41
SLS000223,AGT0003,2022-05,3,1492.31,190236,0.78,105.67,96,0.12,12,86.41
SLS000224,AGT0003,2022-06,0,0.0,182006,0.0,0.0,13,0.3,19,60.89
SLS000225,AGT0003,2022-07,0,0.0,64183,0.0,0.0,40,0.27,16,72.86
SLS000226,AGT0003,2022-08,4,4197.3,76221,5.51,360.21,77,0.17,18,99.47
SLS000227,AGT0003,2022-09,2,2656.18,168217,1.58,162.79,61,0.16,21,74.81
SLS000228,AGT0003,2022-10,1,3141.95,161923,1.94,334.17,25,0.2,16,81.65
SLS000229,AGT0003,2022-11,3,2247.86,189790,1.18,193.56,54,0.12,15,92.81
SLS000230,AGT0003,2022-12,1,2870.14,199306,1.44,174.77,67,0.39,6,95.31
SLS000231,AGT0003,2023-01,0,0.0,178706,0.0,0.0,32,0.38,11,81.09
SLS000232,AGT0003,2023-02,3,10316.2,187452,5.5,987.51,34,0.35,7,84.68
SLS000233,AGT0003,2023-03,2,985.87,157476,0.63,51.3,40,0.11,8,86.07
SLS000234,AGT0003,2023-04,3,3328.56,181721,1.83,348.48,22,0.11,25,68.36
SLS000235,AGT0003,2023-05,0,0.0,135496,0.0,0.0,83,0.32,7,95.18
SLS000236,AGT0003,2023-06,1,394.03,182455,0.22,52.56,71,0.32,27,67.49
SLS000237,AGT0003,2023-07,2,2918.26,138628,2.11,418.43,18,0.26,7,84.76
SLS000238,AGT0003,2023-08,1,5006.6,125317,4.0,593.77,44,0.26,25,83.97
SLS000239,AGT0003,2023-09,0,0.0,191788,0.0,0.0,13,0.28,28,76.09
SLS000240,AGT0003,2023-10,1,1343.87,66595,2.02,122.94,43,0.3,9,83.86
SLS000241,AGT0003,2023-11,0,0.0,188224,0.0,0.0,80,0.27,19,77.01
SLS000242,AGT0003,2023-12,1,1295.81,134366,0.96,99.76,41,0.17,5,72.91
SLS000243,AGT0003,2024-01,3,3400.9700000000003,182449,1.86,285.13,64,0.11,25,78.94
SLS000244,AGT0004,2019-01,0,0.0,68873,0.0,0.0,70,0.11,18,79.45
SLS000245,AGT0004,2019-02,0,0.0,113497,0.0,0.0,91,0.11,10,73.01
SLS000246,AGT0004,2019-03,0,0.0,186616,0.0,0.0,58,0.22,18,98.09
SLS000247,AGT0004,2019-04,0,0.0,141399,0.0,0.0,75,0.11,10,63.27
SLS000248,AGT0004,2019-05,0,0.0,185489,0.0,0.0,78,0.15,23,65.03
SLS000249,AGT0004,2019-06,0,0.0,123498,0.0,0.0,92,0.38,21,83.19
SLS000250,AGT0004,2019-07,0,0.0,163826,0.0,0.0,87,0.19,11,75.57
SLS000251,AGT0004,2019-08,0,0.0,145276,0.0,0.0,89,0.39,28,81.94
SLS000252,AGT0004,2019-09,0,0.0,181879,0.0,0.0,53,0.38,8,84.36
SLS000253,AGT0004,2019-10,0,0.0,173374,0.0,0.0,73,0.14,28,68.29
SLS000254,AGT0004,2019-11,0,0.0,177973,0.0,0.0,70,0.22,25,81.61
SLS000255,AGT0004,2019-12,0,0.0,118995,0.0,0.0,20,0.35,13,66.52
SLS000256,AGT0004,2020-01,0,0.0,179912,0.0,0.0,46,0.21,12,76.32
SLS000257,AGT0004,2020-02,1,117.6,85292,0.14,6.23,45,0.12,23,96.56
SLS000258,AGT0004,2020-03,2,3402.54,97149,3.5,354.28,92,0.33,11,89.79
SLS000259,AGT0004,2020-04,0,0.0,110670,0.0,0.0,95,0.38,22,90.2
SLS000260,AGT0004,2020-05,4,13740.49,56041,24.52,1227.86,56,0.28,21,66.13
SLS000261,AGT0004,2020-06,0,0.0,69797,0.0,0.0,61,0.2,13,98.39
SLS000262,AGT0004,2020-07,0,0.0,124477,0.0,0.0,97,0.38,22,81.08
SLS000263,AGT0004,2020-08,1,1625.84,73375,2.22,102.38,97,0.2,24,90.24
SLS000264,AGT0004,2020-09,1,3006.1,74448,4.04,291.54,99,0.27,11,76.64
SLS000265,AGT0004,2020-10,1,949.2,79465,1.19,98.68,64,0.17,5,79.02
SLS000266,AGT0004,2020-11,1,1031.86,132773,0.78,100.49,32,0.38,25,84.43
SLS000267,AGT0004,2020-12,2,7807.38,84573,9.23,736.35,75,0.21,18,73.22
SLS000268,AGT0004,2021-01,1,609.67,95885,0.64,42.86,71,0.23,20,73.74
SLS000269,AGT0004,2021-02,2,300.07,136286,0.22,33.19,80,0.13,19,78.56
SLS000270,AGT0004,2021-03,1,13048.54,132446,9.85,1119.12,23,0.22,19,63.04
SLS000271,AGT0004,2021-04,1,111.0,137360,0.08,8.18,80,0.33,20,69.62
SLS000272,AGT0004,2021-05,1,1264.46,96958,1.3,137.24,31,0.22,5,85.33
SLS000273,AGT0004,2021-06,1,1409.47,138266,1.02,106.1,13,0.32,26,67.81
SLS000274,AGT0004,2021-07,3,2474.23,135130,1.83,293.37,17,0.11,25,92.47
SLS000275,AGT0004,2021-08,0,0.0,71993,0.0,0.0,70,0.19,14,82.23
SLS000276,AGT0004,2021-09,0,0.0,59358,0.0,0.0,93,0.22,22,65.9
SLS000277,AGT0004,2021-10,3,9470.75,154128,6.14,912.29,49,0.12,27,82.8
SLS000278,AGT0004,2021-11,1,387.72,187060,0.21,29.67,24,0.12,29,99.6
SLS000279,AGT0004,2021-12,2,1001.25,113214,0.88,114.18,58,0.26,17,95.78
SLS000280,AGT0004,2022-01,1,46.51,68892,0.07,6.14,10,0.32,7,97.17
SLS000281,AGT0004,2022-02,2,4718.29,147436,3.2,466.96,77,0.13,19,89.85
SLS000282,AGT0004,2022-03,1,1078.36,73712,1.46,87.35,58,0.31,20,73.45
SLS000283,AGT0004,2022-04,5,20424.14,130230,15.68,2759.99,42,0.18,25,89.5
SLS000284,AGT0004,2022-05,0,0.0,153579,0.0,0.0,98,0.1,8,90.22
SLS000285,AGT0004,2022-06,5,14228.83,89439,15.91,1580.9,82,0.17,22,73.7
SLS000286,AGT0004,2022-07,1,2122.86,179116,1.19,115.47,24,0.15,21,71.09
SLS000287,AGT0004,2022-08,3,1087.31,167720,0.65,87.01,71,0.4,15,80.06
SLS000288,AGT0004,2022-09,1,47.73,100179,0.05,4.46,31,0.35,11,99.35
SLS000289,AGT0004,2022-10,1,1077.13,79228,1.36,153.26,81,0.21,8,65.06
SLS000290,AGT0004,2022-11,1,170.15,117363,0.14,9.6,55,0.27,22,82.56
SLS000291,AGT0004,2022-12,0,0.0,146652,0.0,0.0,43,0.25,22,60.72
SLS000292,AGT0004,2023-01,1,1338.03,156173,0.86,68.28,10,0.29,6,91.87
SLS000293,AGT0004,2023-02,1,1344.74,129970,1.03,83.09,99,0.31,18,93.54
SLS000294,AGT0004,2023-03,0,0.0,150431,0.0,0.0,15,0.15,18,66.0
SLS000295,AGT0004,2023-04,1,314.0,99045,0.32,24.2,33,0.14,10,64.45
